Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,1.5318410514958976073277104391,1.5318410514959,1.50673546939185,1.5318410514959,1.50673546939185,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,2762458
0.02,0,1.3736071288696894874508989066,1.37360712886969,1.34850154676565,1.37360712886969,1.34850154676565,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,5524915
0.03,0,1.2816192259205143859680284031,1.28161922592051,1.25651364381647,1.28161922592051,1.25651364381647,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,8287372
0.04,0,1.2189836324052589801991360704,1.21898363240526,1.19387805030122,1.21898363240526,1.19387805030122,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,11049830
0.05,0,1.1723530923606957313959820346,1.1723530923607,1.14724751025665,1.1723530923607,1.14724751025665,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,13812290
0.06,0,1.1356446118600892932871123915,1.13564461186009,1.11053902975605,1.13564461186009,1.11053902975605,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,16574740
0.07,0,1.1154306789345588334394102277,1.11543067893456,1.09032509683052,1.11543067893456,1.09032509683052,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,19337200
0.08,0,1.1230402833150022927354980927,1.123040283315,1.09793470121096,1.123040283315,1.09793470121096,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,22099660
0.09,0,1.1265894135635491000208679653,1.12658941356355,1.10148383145951,1.12658941356355,1.10148383145951,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,24862120
0.10,0,1.1275818145666335977348891761,1.12758181456663,1.10247623246259,1.12758181456663,1.10247623246259,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,27624580
0.11,0,1.1269168735776082831873655055,1.12691687357761,1.10181129147357,1.12691687357761,1.10181129147357,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,30387030
0.12,0,1.1251571076007118976029898094,1.12515710760071,1.10005152549667,1.12515710760071,1.10005152549667,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,33149490
0.13,0,1.1226667680849725756230188074,1.12266676808497,1.09756118598093,1.12266676808497,1.09756118598093,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,35911950
0.14,0,1.1196883066795852382428686565,1.11968830667959,1.09458272457554,1.11968830667959,1.09458272457554,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,38674400
0.15,0,1.1163870935293663120002747619,1.11638709352937,1.09128151142532,1.11638709352937,1.09128151142532,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,41436860
0.16,0,1.1128777401874190943838539797,1.11287774018742,1.08777215808338,1.11287774018742,1.08777215808338,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,44199320
0.17,0,1.1092407507078220353653198404,1.10924075070782,1.08413516860378,1.10924075070782,1.08413516860378,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,46961780
0.18,0,1.1055333984242475446035416371,1.10553339842425,1.0804278163202,1.10553339842425,1.0804278163202,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,49724240
0.19,0,1.1017968434030049943359896241,1.10179684340301,1.07669126129896,1.10179684340301,1.07669126129896,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,52486690
0.20,0,1.0980606917611845380359624553,1.09806069176118,1.07295510965714,1.09806069176118,1.07295510965714,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,55249150
0.21,0,1.0943460964920865686909781355,1.09434609649209,1.06924051438804,1.09434609649209,1.06924051438804,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,58011600
0.22,0,1.0906683857324952162622325503,1.0906683857325,1.06556280362845,1.0906683857325,1.06556280362845,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,60774060
0.23,0,1.0870384240047032258372455029,1.0870384240047,1.06193284190066,1.0870384240047,1.06193284190066,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,63536520
0.24,0,1.0834637008575493776414554390,1.08346370085755,1.05835811875351,1.08346370085755,1.05835811875351,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,66298980
0.25,0,1.0799497185281700162258129634,1.07994971852817,1.05484413642413,1.07994971852817,1.05484413642413,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,69061440
0.26,0,1.0770972816199451891986243681,1.07709728161995,1.0519916995159,1.07709728161995,1.0519916995159,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,71823900
0.27,0,1.0743126757203815633760140342,1.07431267572038,1.04920709361634,1.07431267572038,1.04920709361634,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,74586350
0.28,0,1.0715963916283868746250420391,1.07159639162839,1.04649080952434,1.07159639162839,1.04649080952434,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,77348810
0.29,0,1.0689482957841477120083581285,1.06894829578415,1.0438427136801,1.06894829578415,1.0438427136801,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,80111260
0.30,0,1.0663673413550879242395362054,1.06636734135509,1.04126175925105,1.06636734135509,1.04126175925105,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,82873730
0.31,0,1.0638529088910994616462221287,1.0638529088911,1.03874732678706,1.0638529088911,1.03874732678706,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,85636180
0.32,0,1.0614034792713622072372719411,1.06140347927136,1.03629789716732,1.06140347927136,1.03629789716732,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,88398640
0.33,0,1.0590175628152923795806697158,1.05901756281529,1.03391198071125,1.05901756281529,1.03391198071125,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,91161100
0.34,0,1.0566936438395649586272883422,1.05669364383957,1.03158806173552,1.05669364383957,1.03158806173552,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,93923550
0.35,0,1.0544300386524354209385359640,1.05443003865244,1.02932445654839,1.05443003865244,1.02932445654839,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,96686010
0.36,0,1.0522249066216860077807454971,1.05222490662169,1.02711932451764,1.05222490662169,1.02711932451764,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,99448470
0.37,0,1.0500768330913301676660352467,1.05007683309133,1.02497125098729,1.05007683309133,1.02497125098729,0,0,0,0,38.5112826071006,372.80510736828933533535623016,372.80510736828933533535623016,102210900
