Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,213.38,0,0,112.35,140.7721,4.606503,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,B,0.010,0.010,0,0.7754976,0,1079.872,213.38,0,0,112.3269,140.7721,4.610245,130.652012931773,130.652012931464,0.000284184994252629,1.30652000000309,1.30652,0.00000284185,89.9999,89.9999,0.0065326,0.00000001420925
0.02,B,0.02,0.010,0,0.7754975,0,1080.781,213.35,0.0002564644,0,112.3038,140.7721,4.613987,130.811966568708,130.811966568399,0.000284464164542884,2.61464000000618,2.61464,0.000005686491,89.9999,89.9999,0.0261384,0.00000005685095
0.03,B,0.03,0.010,0,0.7754974,0,1081.691,213.2988,0.001027113,0,112.2807,140.7721,4.617729,130.988128590473,130.988128590163,0.000284771625845165,3.92452100000928,3.924521,0.000008534207,89.9999,89.9999,0.0588342,0.0000001279544
0.04,B,0.04,0.010,0,0.7754977,0,1082.6,213.2476,0.002314023,0,112.2577,140.7721,4.62147,131.164350938229,131.164350937919,0.000285079192501985,5.23616500001238,5.236165,0.000011385,89.9999,89.9999,0.1046376,0.0000002275505
0.05,B,0.05,0.010,0,0.7754979,0,1083.51,213.1963,0.004119271,0,112.2346,140.7721,4.625212,131.340645210213,131.340645209903,0.000285386884777984,6.54957200001548,6.549572,0.00001423887,89.9999,89.9999,0.1635663,0.0000003556698
0.05999999,B,0.05999999,0.010,0,0.775498,0,1084.419,213.1449,0.006444938,0,112.2115,140.7721,4.628953,131.516950904682,131.516950904372,0.000285694597034054,7.86474100001858,7.864741,0.00001709582,89.9999,89.9999,0.2356379,0.0000005123433
0.06999999,B,0.06999999,0.010,0,0.7754982,0,1085.329,213.0936,0.009293105,0,112.1884,140.7721,4.632695,131.693353300119,131.693353299808,0.000286002478131112,9.18167400002168,9.181674,0.00001995584,89.9999,89.9999,0.32087,0.0000006976015
0.07999999,B,0.07999999,0.010,0,0.7754982,0,1086.239,213.0421,0.01266586,0,112.1653,140.7721,4.636437,131.869787463753,131.869787463442,0.000286310410696328,10.5003700000248,10.50037,0.00002281894,89.9999,89.9999,0.4192802,0.0000009114754
0.08999999,B,0.08999999,0.010,0,0.7754985,0,1087.149,212.9907,0.01656528,0,112.1422,140.7721,4.640179,132.046272202308,132.046272201997,0.00028661843564034,11.8208300000279,11.82083,0.00002568512,89.9999,89.9999,0.5308862,0.000001153996
